OrderID,OrderDate,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,SalesRep,PaymentMethod,CustomerSegment,Revenue
ORD100694,2024-09-06,CUST1274,Krishna Kumar,West,Office Supplies,Pen Set,3,261.41,N. Joshi,Debit Card,Returning,784.23
ORD101575,2025-02-03,CUST1315,Aditya Singh,West,Software,Project Mgmt Tool,1,380.76,N. Joshi,Debit Card,Returning,380.76
ORD100705,2025-01-07,CUST1285,Saanvi Chopra,West,Electronics,USB-C Hub,5,197.44,M. Gupta,Credit Card,New,987.2
ORD100237,2025-08-03,CUST1237,Krishna Singh,South,Office Supplies,Pen Set,5,292.95,R. Verma,Wallet,Returning,1464.75
ORD101529,2024-10-27,CUST1269,Arjun Verma,West,Electronics,27in Monitor,1,143.09,P. Iyer,Credit Card,New,143.09
ORD100851,2025-09-09,CUST1011,Sai Singh,South,Software,VPN Subscription,1,349.59,S. Khan,Wallet,Returning,349.59
ORD100928,2024-05-26,CUST1088,Myra Iyer,West,Electronics,27in Monitor,2,136.36,M. Gupta,Credit Card,Returning,272.72
ORD100935,2025-11-23,CUST1095,Arjun Iyer,West,Electronics,Webcam HD,4,300.13,P. Iyer,UPI,New,1200.52
ORD100565,2025-01-19,CUST1145,Riya Sharma,East,Electronics,Mechanical Keyboard,4,385.39,P. Iyer,UPI,Returning,1541.56
ORD100430,2025-04-30,CUST1010,Kavya Iyer,East,Electronics,Mechanical Keyboard,2,231.22,P. Iyer,Debit Card,New,462.44
ORD100816,2024-01-15,CUST1396,Aarav Malhotra,East,Office Supplies,Notebook Pack,1,328.37,P. Iyer,Net Banking,New,328.37
ORD101510,2024-04-22,CUST1250,Reyansh Khan,North,Electronics,Mechanical Keyboard,2,360.96,M. Gupta,UPI,New,721.92
ORD101336,2024-02-24,CUST1076,Vivaan Nair,South,Furniture,Office Chair,5,127.45,P. Iyer,Wallet,New,637.25
ORD100806,2024-05-06,CUST1386,Sai Reddy,South,Software,Cloud Backup Plan,3,252.24,M. Gupta,Credit Card,Returning,756.72
ORD100500,2025-05-04,CUST1080,Krishna Verma,East,Software,Antivirus License,1,12.2,A. Sharma,Credit Card,New,12.2
ORD101471,2024-11-13,CUST1211,Riya Khan,North,Office Supplies,Notebook Pack,1,240.81,P. Iyer,Credit Card,Returning,240.81
ORD100779,2025-06-26,CUST1359,Ananya Patel,West,Software,Cloud Backup Plan,2,103.9,N. Joshi,Wallet,Returning,207.8
ORD100339,2025-10-25,CUST1339,Aditya Chopra,North,Electronics,Wireless Mouse,1,315.48,N. Joshi,UPI,Returning,315.48
ORD100813,2024-09-15,CUST1393,Kavya Sharma,South,Furniture,Bookshelf,1,144.98,S. Khan,UPI,Returning,144.98
ORD100621,2024-03-09,CUST1201,Navya Malhotra,West,Furniture,Bookshelf,4,284.46,M. Gupta,Net Banking,New,1137.84
ORD101134,2024-02-14,CUST1294,Ayaan Nair,North,Office Supplies,Notebook Pack,2,319.33,R. Verma,Credit Card,New,638.66
ORD100284,2024-07-02,CUST1284,Reyansh Joshi,North,Software,Project Mgmt Tool,1,346.7,S. Khan,Credit Card,New,346.7
ORD101157,2024-05-20,CUST1317,Diya Reddy,South,Electronics,USB-C Hub,4,347.51,A. Sharma,Net Banking,New,1390.04
ORD100526,2025-11-08,CUST1106,Aadhya Mehta,West,Office Supplies,Notebook Pack,5,434.37,R. Verma,Debit Card,New,2171.85
ORD100146,2024-12-22,CUST1146,Aditya Verma,West,Furniture,Filing Cabinet,3,209.26,S. Khan,UPI,Returning,627.78
ORD101527,2025-09-28,CUST1267,Anika Nair,South,Software,VPN Subscription,4,315.53,S. Khan,Debit Card,Returning,1262.12
ORD101212,2025-01-18,CUST1372,Aarav Nair,North,Electronics,Mechanical Keyboard,5,333.06,N. Joshi,Net Banking,Returning,1665.3
ORD101547,2024-08-09,CUST1287,Diya Joshi,South,Software,VPN Subscription,3,191.41,P. Iyer,Net Banking,Returning,574.23
ORD101370,2024-08-02,CUST1110,Saanvi Joshi,West,Electronics,Webcam HD,1,154.49,R. Verma,Debit Card,New,154.49
ORD100206,2024-05-26,CUST1206,Aadhya Reddy,South,Office Supplies,Sticky Notes,1,352.29,N. Joshi,Credit Card,New,352.29
ORD100095,2025-05-17,CUST1095,Reyansh Reddy,North,Furniture,Filing Cabinet,1,67.99,A. Sharma,Net Banking,Returning,67.99
ORD100901,2025-05-16,CUST1061,Sai Nair,North,Furniture,Desk Lamp,4,400.26,M. Gupta,Net Banking,New,1601.04
ORD100147,2024-06-17,CUST1147,Aarav Chopra,North,Electronics,Wireless Mouse,1,251.94,S. Khan,Debit Card,New,251.94
ORD100204,2025-07-26,CUST1204,Vihaan Khan,South,Office Supplies,Sticky Notes,3,297.26,S. Khan,Net Banking,Returning,891.78
ORD100172,2024-05-25,CUST1172,Ayaan Iyer,East,Office Supplies,Pen Set,1,27.4,P. Iyer,UPI,New,27.4
ORD101016,2024-09-05,CUST1176,Anika Agarwal,East,Office Supplies,Desk Organizer,2,361.13,R. Verma,UPI,Returning,722.26
ORD100788,2025-10-01,CUST1368,Ananya Joshi,North,Software,Antivirus License,1,141.8,N. Joshi,Net Banking,Returning,141.8
