OrderID,OrderDate,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,SalesRep,PaymentMethod,CustomerSegment
ORD100694,2024-09-06,CUST1274,Krishna Kumar,West,Office Supplies,Pen Set,3.0,261.41,N. Joshi,Debit Card,Returning
ORD101575,02/03/2025,CUST1315,Aditya Singh,west,Software,Project Mgmt Tool,-1.0,380.76,N. Joshi,Debit Card,Returning
ORD100705,07-Jan-2025,CUST1285,Saanvi Chopra,west,Electronics,USB-C Hub,5.0,197.44,M. Gupta,Credit Card,New
ORD101434,18/12/2024,CUST1174,Aadhya Iyer,North,Software,VPN Subscription,5.0,,M. Gupta,Debit Card,New
ORD100237,2025-08-03,CUST1237,KRISHNA SINGH,South,Office Supplies,Pen Set,5.0,292.95,R. Verma,Wallet,Returning
ORD101529,2024-10-27,CUST1269,Arjun Verma,west,Electronics,27in Monitor,1.0,143.09,P. Iyer,Credit Card,New
ORD100851,2025-09-09,CUST1011,SAI SINGH,south,Software,VPN Subscription,1.0,349.59,S. Khan,Wallet,Returning
ORD100928,26/05/2024,CUST1088,Myra Iyer,WEST,Electronics,27in Monitor,2.0,136.36,M. Gupta,Credit Card,Returning
ORD100581,06-18-2025,CUST1161,  Myra Reddy  ,North,Furniture,Bookshelf,,93.24,R. Verma,Debit Card,Returning
ORD100935,23/11/2025,CUST1095,Arjun Iyer,west,Electronics,Webcam HD,4.0,300.13,P. Iyer,UPI,New
ORD100565,19/01/2025,CUST1145,Riya Sharma,East,Electronics,Mechanical Keyboard,4.0,385.39,P. Iyer,UPI,Returning
ORD100430,04-30-2025,CUST1010,  Kavya Iyer  ,east,Electronics,Mechanical Keyboard,2.0,231.22,P. Iyer,Debit Card,New
ORD100816,2024-01-15,CUST1396,Aarav Malhotra, East,Office Supplies,Notebook Pack,1.0,328.37,P. Iyer,Net Banking,New
ORD100666,01-11-2024,CUST1246,Arjun Gupta,west,Office Supplies,Sticky Notes,4.0,,N. Joshi,Debit Card,New
